ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
MNG,2.5539999,4,2096.0144,3,820.679123754077,4,1
MOZ,19.792295,8,6823.02,5,344.7311188520584,2,1
MRT,3.068742,4,1836.5895,3,598.4828636620479,3,1
MTQ,0.397191,2,9610.0,6,24194.908746673515,9,0
MUS,1.243253,3,6289.6304,5,5059.010836893215,7,1
MWI,12.883935,7,2075.5713,3,161.0976227371529,1,1
MYS,25.347368,9,130769.98,9,5159.114745168019,7,1
NAM,2.0312519,4,6184.5166,5,3044.6822474356823,6,1
NCL,0.23447947,2,6240.0,5,26612.137941116976,10,0
NER,13.956977,8,3397.8555,4,243.452110009209,1,1
NGA,141.35608,10,97018.453,9,686.3408563678337,3,1
NIC,5.1493111,5,4911.0464,5,953.7288201522724,4,1
NLD,16.319851,8,624202.25,10,38248.03608807458,10,1
NOR,4.6233001,5,295512.78,10,63918.14799130172,10,1
NPL,27.132629,9,7390.748,5,272.39336077606043,1,1
NRU,0.010318,1,60.0,1,5815.080441946113,7,0
NZL,4.0988998,5,109291.43,9,26663.601291253814,10,1
OMN,2.5669811,4,31080.0,8,12107.607648533134,8,1
PAK,155.772,10,111298.89,9,714.4986903936523,3,1
PAN,3.2315021,4,15483.3,7,4791.363124907144,7,1
PER,27.968245,9,79370.906,8,2837.8936897899744,6,1
PHL,83.054482,10,98366.086,9,1184.356143477001,4,1
PLW,0.020099999,1,144.66499,1,7197.263542152415,8,0
PNG,5.8871379,6,4945.0337,5,839.9724592828036,4,1
POL,38.165451,9,303161.13,10,7943.339383045677,8,1
PRK,22.487661,8,13000.0,6,578.0948049688227,3,0
PRT,10.54945,7,183304.81,9,17375.769352904652,9,1
PRY,5.8986511,6,7327.6899,5,1242.2653545316487,4,1
PYF,0.256603,2,4580.0,5,17848.58321999353,9,0
QAT,0.81284201,3,42462.637,8,52239.71753133183,10,1
REU,0.791598,3,18000.0,7,22738.814398217277,9,0
ROM,21.63435,8,98844.758,9,4568.880414710865,7,1
RUS,143.11365,10,764501.44,10,5341.918398419717,7,0
RWA,9.0376902,7,2146.2205,3,237.47444894714357,1,1
SAU,23.118994,8,309778.47,10,13399.305782941938,8,1
SDN,36.232944,9,27895.389,7,769.8902137237316,3,0
SEN,11.658172,7,8238.4297,6,706.6656504982085,3,1
SGP,4.3418002,5,116693.4,9,26876.73191410328,10,1
SHN,0.005157,1,30.0,1,5817.335660267598,7,0
SLB,0.47774199,3,298.11816,1,624.0149834851234,3,1
SLE,5.5254779,6,1217.5546,3,220.35281328335415,1,1
SLV,6.8809509,6,16974.0,7,2466.8102195003307,6,1
SMR,0.028200001,1,1790.0,3,63475.175054071806,10,0
SOM,8.2278261,6,2316.0,3,281.4838296108373,2,0
SPM,0.006123,1,100.0,1,16331.863465621427,9,0
STP,0.156523,2,112.58932,1,719.3148610747303,3,0
SUR,0.449238,3,1342.6449,3,2988.7162261429353,6,1
SVK,5.3870001,6,47422.184,8,8803.078358955294,8,1
SVN,2.0005,4,34353.695,8,17172.554361409646,9,1
SWE,9.0240402,7,357682.63,10,39636.63969493398,10,1
SWZ,1.131,3,2612.9424,4,2310.293899204244,5,1
